CustomerID,Country,PredictedCLV
14646.0,Netherlands,350109.0172800002
14156.0,EIRE,308237.7190200004
14911.0,EIRE,289407.3084000004
13694.0,United Kingdom,182159.23759999982
17450.0,United Kingdom,144018.17965000012
14527.0,United Kingdom,137376.21171999993
17511.0,United Kingdom,134339.6840000002
14667.0,United Kingdom,123709.98180000005
14298.0,United Kingdom,108292.74960000004
13089.0,United Kingdom,105416.92258000001
17850.0,United Kingdom,102396.97510000005
16684.0,United Kingdom,99897.86723000005
15311.0,United Kingdom,94202.65800000011
12471.0,Germany,93536.45132000008
17841.0,United Kingdom,84025.95070000015
18102.0,United Kingdom,83234.50629999998
16029.0,United Kingdom,78406.28260000005
15078.0,United Kingdom,75141.30754000001
16705.0,United Kingdom,71286.15585999994
15061.0,United Kingdom,67472.04082
12748.0,United Kingdom,67412.90719999997
16422.0,United Kingdom,65136.760720000035
15769.0,United Kingdom,61318.761199999935
12971.0,United Kingdom,59850.510540000025
13798.0,United Kingdom,59081.69914
14606.0,United Kingdom,58372.39439999995
17949.0,United Kingdom,54669.188339999986
12931.0,United Kingdom,54344.27819999996
13093.0,United Kingdom,53283.07979999997
15838.0,United Kingdom,52474.16647500002
17389.0,United Kingdom,52435.88130999999
13408.0,United Kingdom,52201.656099999986
17243.0,United Kingdom,51342.92370999997
13777.0,United Kingdom,51270.728910000005
16013.0,United Kingdom,49947.82599999997
14680.0,United Kingdom,49474.57869999998
13199.0,United Kingdom,46650.091409999986
13081.0,United Kingdom,45167.44571833333
14088.0,United Kingdom,43756.751433333324
16754.0,United Kingdom,43299.04757500005
17865.0,United Kingdom,42432.23473999994
12921.0,United Kingdom,39996.66110000004
17961.0,United Kingdom,39794.12010000005
13881.0,United Kingdom,39033.557100000005
17428.0,United Kingdom,38592.117800000015
15039.0,United Kingdom,38039.310600000084
16779.0,United Kingdom,37514.94636999997
14031.0,United Kingdom,35842.88130000005
17675.0,United Kingdom,35515.14459999998
18172.0,United Kingdom,34952.00165000002
13078.0,United Kingdom,34464.80110000003
16839.0,United Kingdom,33142.23159999999
14096.0,United Kingdom,32523.24928214286
15640.0,United Kingdom,32523.24928214286
16592.0,United Kingdom,32523.24928214286
17377.0,United Kingdom,31579.866800000014
16210.0,United Kingdom,31309.92450000002
16133.0,United Kingdom,31076.161609999952
17677.0,United Kingdom,30275.054519999987
13767.0,United Kingdom,30076.97552000002
12709.0,Germany,29051.8466
13468.0,United Kingdom,28773.993
15358.0,United Kingdom,28298.819300000025
15856.0,United Kingdom,28133.31129999996
17920.0,United Kingdom,27596.965000000004
14735.0,United Kingdom,27477.816909999965
18241.0,United Kingdom,27212.937636666677
12681.0,France,26720.74229999998
13319.0,United Kingdom,26619.670209999975
12621.0,Germany,25665.10580000002
13599.0,United Kingdom,24286.215700000015
17757.0,United Kingdom,23990.74245
13113.0,United Kingdom,23990.74245
15498.0,United Kingdom,23925.734400000027
13534.0,United Kingdom,23674.53802
13098.0,United Kingdom,22834.376091428534
15159.0,United Kingdom,22327.610599999967
15513.0,United Kingdom,22320.90199999999
18223.0,United Kingdom,22097.94550000002
13001.0,United Kingdom,21956.149871666665
13902.0,Denmark,21657.607000000004
17811.0,United Kingdom,21586.455870000013
16525.0,United Kingdom,21541.631500000007
12682.0,France,21019.296900000023
16656.0,United Kingdom,20939.551515000003
14062.0,United Kingdom,20489.09858666669
14194.0,United Kingdom,20067.169200000033
15615.0,United Kingdom,20031.42420000002
13047.0,United Kingdom,19693.826099999987
16161.0,United Kingdom,19673.734699999983
12731.0,France,19647.830383333327
16333.0,United Kingdom,19490.05870000003
16843.0,United Kingdom,19434.150900000015
15189.0,United Kingdom,19347.773699999972
13050.0,United Kingdom,19256.49879999998
13418.0,United Kingdom,18784.41579999998
12540.0,Spain,18697.590400000016
17581.0,United Kingdom,18625.833699999992
16558.0,United Kingdom,17857.318359999987
18251.0,United Kingdom,17752.53466666669
15827.0,United Kingdom,17619.581099999992
12482.0,Sweden,17351.04700000001
16549.0,United Kingdom,17337.81374999998
12835.0,United Kingdom,17026.607699999986
18225.0,United Kingdom,16992.774904999987
16168.0,United Kingdom,16950.87280000001
17857.0,United Kingdom,16938.23435666668
14282.0,United Kingdom,16938.23435666668
12472.0,Germany,16920.602499999975
12753.0,Japan,16871.192779999998
12647.0,Germany,16786.34377500002
14085.0,United Kingdom,16639.20139166665
17340.0,United Kingdom,16376.693599999993
13090.0,United Kingdom,16376.693599999993
13097.0,United Kingdom,16359.2402
17448.0,United Kingdom,16235.117699999988
13564.0,United Kingdom,16235.117699999988
15005.0,United Kingdom,15993.372800000012
18226.0,United Kingdom,15859.269700000015
14040.0,United Kingdom,15838.715099999989
16019.0,United Kingdom,15773.808609999985
12474.0,Germany,15630.865799999985
17706.0,United Kingdom,15588.414524999982
14952.0,United Kingdom,15586.7126
16553.0,United Kingdom,15498.149700000025
12477.0,Germany,15484.281599999988
12417.0,Belgium,15436.762596666673
15768.0,United Kingdom,15370.483699999992
12476.0,Germany,15326.05149333335
15805.0,United Kingdom,15298.105700000007
15291.0,United Kingdom,15199.71299999999
14866.0,United Kingdom,14852.231826190473
17419.0,United Kingdom,14852.231826190473
16700.0,United Kingdom,14797.097786666684
16570.0,United Kingdom,14797.097786666684
15251.0,United Kingdom,14797.097786666684
15125.0,United Kingdom,14714.95800000001
17315.0,United Kingdom,14528.263260000012
16875.0,United Kingdom,14505.138500000003
12939.0,United Kingdom,14505.138500000003
17416.0,United Kingdom,14491.710499999988
13102.0,United Kingdom,14309.25885821429
13069.0,United Kingdom,14309.25885821429
14051.0,United Kingdom,14309.25885821429
16191.0,United Kingdom,14241.135693333354
15601.0,United Kingdom,14199.499358333333
18118.0,United Kingdom,14199.499358333333
14534.0,United Kingdom,14028.277566666666
15465.0,United Kingdom,13938.447933333344
14961.0,United Kingdom,13890.029166666656
